Position,code,Geography,Humidity,vialnum,Sex,PLATE,cfuA,cfuL,starved,exp,repexp,latitude,percL
A1,D-A-1-M,D,A,1,M,plate1,204800,76800,N,A,D-A-1-MA,6,0.272727273
A2,D-A-2-F,D,A,2,F,plate1,8000,9600,N,A,D-A-2-FA,6,0.545454545
A4,E-A-2-M,E,A,2,M,plate1,1400,1400,N,A,E-A-2-MA,8,0.5
A5,E-A-3-F,E,A,3,F,plate1,800,3200,N,A,E-A-3-FA,8,0.8
A6,D-B-2-F,D,B,2,F,plate1,800,2800,N,A,D-B-2-FA,6,0.777777778
A7,E-B-1-F,E,B,1,F,plate1,1400,1000,N,A,E-B-1-FA,8,0.416666667
A8,E-B-4-F,E,B,4,F,plate1,9600,9600,N,A,E-B-4-FA,8,0.5
A9,D-C-2-F,D,C,2,F,plate1,1200,2200,N,A,D-C-2-FA,6,0.647058824
A10,E-C-3-F,E,C,3,F,plate1,19200,11200,N,A,E-C-3-FA,8,0.368421053
A11,V-A-1-F,V,A,1,F,plate1,25600,38400,N,A,V-A-1-FA,1,0.6
A12,V-A-3-F,V,A,3,F,plate1,166400,76800,N,A,V-A-3-FA,1,0.315789474
B1,D-A-1-M,D,A,1,M,plate1,25600,6400,N,A,D-A-1-MA,6,0.2
B2,D-A-2-F,D,A,2,F,plate1,14400,17600,N,A,D-A-2-FA,6,0.55
B4,E-A-2-M,E,A,2,M,plate1,4800,8000,N,A,E-A-2-MA,8,0.625
B5,E-A-3-F,E,A,3,F,plate1,8000,19200,N,A,E-A-3-FA,8,0.705882353
B6,D-B-2-F,D,B,2,F,plate1,0,8000,N,A,D-B-2-FA,6,1
B7,E-B-1-F,E,B,1,F,plate1,0,175,N,A,E-B-1-FA,8,1
B8,E-B-4-F,E,B,4,F,plate1,6400,8000,N,A,E-B-4-FA,8,0.555555556
B9,D-C-2-F,D,C,2,F,plate1,4800,8000,N,A,D-C-2-FA,6,0.625
B10,E-C-3-F,E,C,3,F,plate1,19200,8000,N,A,E-C-3-FA,8,0.294117647
B11,V-A-1-F,V,A,1,F,plate1,40000,28800,N,A,V-A-1-FA,1,0.418604651
B12,V-A-3-F,V,A,3,F,plate1,217600,128000,N,A,V-A-3-FA,1,0.37037037
C1,D-A-1-F,D,A,1,F,plate1,5200,2800,N,A,D-A-1-FA,6,0.35
C3,E-A-1-M,E,A,1,M,plate1,4800,19200,N,A,E-A-1-MA,8,0.8
C4,E-A-2-F,E,A,2,F,plate1,3200,6400,N,A,E-A-2-FA,8,0.666666667
C5,D-B-1-M,D,B,1,M,plate1,9600,25600,N,A,D-B-1-MA,6,0.727272727
C6,D-B-3-M,D,B,3,M,plate1,1000,1200,N,A,D-B-3-MA,6,0.545454545
C7,E-B-4-M,E,B,4,M,plate1,4800,6400,N,A,E-B-4-MA,8,0.571428571
C8,D-C-1-M,D,C,1,M,plate1,50,50,N,A,D-C-1-MA,6,0.5
C9,E-C-1-M,E,C,1,M,plate1,14400,4800,N,A,E-C-1-MA,8,0.25
C10,E-C-4-M,E,C,4,M,plate1,76800,230400,N,A,E-C-4-MA,8,0.75
C11,V-A-2-M,V,A,2,M,plate1,128000,204800,N,A,V-A-2-MA,1,0.615384615
C12,V-B-2-M,V,B,2,M,plate1,128000,64000,N,A,V-B-2-MA,1,0.333333333
D1,D-A-1-F,D,A,1,F,plate1,1400,2600,N,A,D-A-1-FA,6,0.65
D3,E-A-1-M,E,A,1,M,plate1,9600,20800,N,A,E-A-1-MA,8,0.684210526
D5,D-B-1-M,D,B,1,M,plate1,1000,3200,N,A,D-B-1-MA,6,0.761904762
D6,D-B-3-M,D,B,3,M,plate1,1000,1200,N,A,D-B-3-MA,6,0.545454545
D7,E-B-4-M,E,B,4,M,plate1,400,800,N,A,E-B-4-MA,8,0.666666667
D9,E-C-1-M,E,C,1,M,plate1,11200,12800,N,A,E-C-1-MA,8,0.533333333
D10,E-C-4-M,E,C,4,M,plate1,38400,76800,N,A,E-C-4-MA,8,0.666666667
D11,V-A-2-M,V,A,2,M,plate1,102400,64000,N,A,V-A-2-MA,1,0.384615385
D12,V-B-2-M,V,B,2,M,plate1,76800,166400,N,A,V-B-2-MA,1,0.684210526
E2,D-A-3-M,D,A,3,M,plate1,4800,4800,N,A,D-A-3-MA,6,0.5
E3,E-A-1-F,E,A,1,F,plate1,16000,64000,N,A,E-A-1-FA,8,0.8
E5,D-B-1-F,D,B,1,F,plate1,1000,2200,N,A,D-B-1-FA,6,0.6875
E6,D-B-3-F,D,B,3,F,plate1,1200,3200,N,A,D-B-3-FA,6,0.727272727
E7,E-B-4-M,E,B,4,M,plate1,14400,33600,N,A,E-B-4-MA,8,0.7
E9,E-C-1-F,E,C,1,F,plate1,14400,17600,N,A,E-C-1-FA,8,0.55
E10,E-C-4-F,E,C,4,F,plate1,25600,76800,N,A,E-C-4-FA,8,0.75
E11,V-A-2-F,V,A,2,F,plate1,12800,24000,N,A,V-A-2-FA,1,0.652173913
E12,V-B-2-F,V,B,2,F,plate1,16000,32000,N,A,V-B-2-FA,1,0.666666667
F2,D-A-3-M,D,A,3,M,plate1,102400,51200,N,A,D-A-3-MA,6,0.333333333
F3,E-A-1-F,E,A,1,F,plate1,9600,12800,N,A,E-A-1-FA,8,0.571428571
F5,D-B-1-F,D,B,1,F,plate1,1800,2400,N,A,D-B-1-FA,6,0.571428571
F6,D-B-3-F,D,B,3,F,plate1,1600,5200,N,A,D-B-3-FA,6,0.764705882
F7,E-B-4-M,E,B,4,M,plate1,2600,4800,N,A,E-B-4-MA,8,0.648648649
F9,E-C-1-F,E,C,1,F,plate1,9600,12800,N,A,E-C-1-FA,8,0.571428571
F10,E-C-4-F,E,C,4,F,plate1,17600,32000,N,A,E-C-4-FA,8,0.64516129
F11,V-A-2-F,V,A,2,F,plate1,89600,217600,N,A,V-A-2-FA,1,0.708333333
F12,V-B-2-F,V,B,2,F,plate1,102400,128000,N,A,V-B-2-FA,1,0.555555556
G1,D-A-2-M,D,A,2,M,plate1,12800,25600,N,A,D-A-2-MA,6,0.666666667
G2,D-A-3-F,D,A,3,F,plate1,179200,243200,N,A,D-A-3-FA,6,0.575757576
G4,E-A-3-M,E,A,3,M,plate1,8000,27200,N,A,E-A-3-MA,8,0.772727273
G5,D-B-2-M,D,B,2,M,plate1,1600,2400,N,A,D-B-2-MA,6,0.6
G7,E-B-4-F,E,B,4,F,plate1,16000,22400,N,A,E-B-4-FA,8,0.583333333
G8,D-C-2-M,D,C,2,M,plate1,2000,2400,N,A,D-C-2-MA,6,0.545454545
G9,E-C-3-M,E,C,3,M,plate1,76800,153600,N,A,E-C-3-MA,8,0.666666667
G10,V-A-1-M,V,A,1,M,plate1,89600,102400,N,A,V-A-1-MA,1,0.533333333
G11,V-A-3-M,V,A,3,M,plate1,140800,204800,N,A,V-A-3-MA,1,0.592592593
H1,D-A-2-M,D,A,2,M,plate1,125,425,N,A,D-A-2-MA,6,0.772727273
H2,D-A-3-F,D,A,3,F,plate1,9600,4800,N,A,D-A-3-FA,6,0.333333333
