code,Treatment,exp,cfuA,cfuL,total,SortOrder,repexp,Experiment,Sex,Vial
NA 1 A Pre-Treatment M,NA,A,7552.5,5962.5,13515,1,NA 1 A Pre-Treatment M,Pre-Treatment,M,1
NA 3 A Pre-Treatment M,NA,A,66780,2782.5,69562.5,3,NA 3 A Pre-Treatment M,Pre-Treatment,M,1
NA 5 A Pre-Treatment M,NA,A,5167.5,450,5617.5,5,NA 5 A Pre-Treatment M,Pre-Treatment,M,1
NA 7 A Pre-Treatment M,NA,A,5565,675,6240,7,NA 7 A Pre-Treatment M,Pre-Treatment,M,1
NA 9 A Pre-Treatment M,NA,A,825,125,950,9,NA 9 A Pre-Treatment M,Pre-Treatment,M,1
NA 11 A Pre-Treatment M,NA,A,20670,1590,22260,11,NA 11 A Pre-Treatment M,Pre-Treatment,M,1
NA 13 A Pre-Treatment M,NA,A,38160,1987.5,40147.5,13,NA 13 A Pre-Treatment M,Pre-Treatment,M,1
NA 15 A Pre-Treatment M,NA,A,47700,2385,50085,15,NA 15 A Pre-Treatment M,Pre-Treatment,M,1
NA 17 A Pre-Treatment M,NA,A,82680,5167.5,87847.5,17,NA 17 A Pre-Treatment M,Pre-Treatment,M,1
NA 19 A Pre-Treatment M,NA,A,4770,1987.5,6757.5,19,NA 19 A Pre-Treatment M,Pre-Treatment,M,1
NA 21 A Pre-Treatment F,NA,A,111300,1590,112890,21,NA 21 A Pre-Treatment F,Pre-Treatment,F,1
NA 23 A Pre-Treatment F,NA,A,143100,7552.5,150652.5,23,NA 23 A Pre-Treatment F,Pre-Treatment,F,1
NA 25 A Pre-Treatment F,NA,A,120840,5565,126405,25,NA 25 A Pre-Treatment F,Pre-Treatment,F,1
NA 27 A Pre-Treatment F,NA,A,305280,6360,311640,27,NA 27 A Pre-Treatment F,Pre-Treatment,F,1
NA 29 A Pre-Treatment F,NA,A,60420,1192.5,61612.5,29,NA 29 A Pre-Treatment F,Pre-Treatment,F,1
NA 31 A Pre-Treatment F,NA,A,152640,1987.5,154627.5,31,NA 31 A Pre-Treatment F,Pre-Treatment,F,1
NA 33 A Pre-Treatment F,NA,A,432480,22260,454740,33,NA 33 A Pre-Treatment F,Pre-Treatment,F,1
NA 35 A Pre-Treatment F,NA,A,168540,2385,170925,35,NA 35 A Pre-Treatment F,Pre-Treatment,F,1
NA 37 A Pre-Treatment F,NA,A,305280,25440,330720,37,NA 37 A Pre-Treatment F,Pre-Treatment,F,1
NA 39 A Pre-Treatment F,NA,A,305280,4770,310050,39,NA 39 A Pre-Treatment F,Pre-Treatment,F,1
Choice 41 A Post-Treatment M,Choice,A,108120,7552.5,115672.5,41,Choice 41 A Post-Treatment M,Post-Treatment,M,2
Choice 43 A Post-Treatment M,Choice,A,712320,9142.5,721462.5,43,Choice 43 A Post-Treatment M,Post-Treatment,M,2
Choice 45 A Post-Treatment M,Choice,A,686880,4372.5,691252.5,45,Choice 45 A Post-Treatment M,Post-Treatment,M,2
Choice 47 A Post-Treatment M,Choice,A,686880,5565,692445,47,Choice 47 A Post-Treatment M,Post-Treatment,M,2
Choice 49 A Post-Treatment F,Choice,A,890400,25440,915840,49,Choice 49 A Post-Treatment F,Post-Treatment,F,2
Choice 51 A Post-Treatment F,Choice,A,1093920,7155,1101075,51,Choice 51 A Post-Treatment F,Post-Treatment,F,2
Choice 53 A Post-Treatment F,Choice,A,1170240,7950,1178190,53,Choice 53 A Post-Treatment F,Post-Treatment,F,2
Choice 55 A Post-Treatment F,Choice,A,1017600,6360,1023960,55,Choice 55 A Post-Treatment F,Post-Treatment,F,2
Choice 57 A Post-Treatment M,Choice,A,76320,8745,85065,57,Choice 57 A Post-Treatment M,Post-Treatment,M,3
Choice 59 A Post-Treatment M,Choice,A,178080,5962.5,184042.5,59,Choice 59 A Post-Treatment M,Post-Treatment,M,3
Choice 61 A Post-Treatment M,Choice,A,44520,3577.5,48097.5,61,Choice 61 A Post-Treatment M,Post-Treatment,M,3
Choice 63 A Post-Treatment M,Choice,A,108120,1987.5,110107.5,63,Choice 63 A Post-Treatment M,Post-Treatment,M,3
Choice 65 A Post-Treatment F,Choice,A,585120,5962.5,591082.5,65,Choice 65 A Post-Treatment F,Post-Treatment,F,3
Choice 67 A Post-Treatment F,Choice,A,63600,6757.5,70357.5,67,Choice 67 A Post-Treatment F,Post-Treatment,F,3
Choice 69 A Post-Treatment F,Choice,A,890400,12720,903120,69,Choice 69 A Post-Treatment F,Post-Treatment,F,3
Choice 71 A Post-Treatment F,Choice,A,966720,4372.5,971092.5,71,Choice 71 A Post-Treatment F,Post-Treatment,F,3
Choice 73 A Post-Treatment M,Choice,A,50880,4372.5,55252.5,73,Choice 73 A Post-Treatment M,Post-Treatment,M,4
