Position,code,Geography,Treatment,vialnum,Sex,exp,cfuA,cfuL,repexp,total,GT,Bacteria,Replicate,Duplicate,SortOrder,Plate,Side,type
19,B Choice F 1 NA 19 1 Flies 1 NA,B,Choice,B Choice F 1 NA 19 1 Flies 1 NA,F,1,1144800,950,B Choice F 1 NA 19 1 Flies 1 NA,1145750,BChoice,X,1,NA,19,Flies 1,NA,fly
21,B Choice F 1 NA 21 1 Flies 1 NA,B,Choice,B Choice F 1 NA 21 1 Flies 1 NA,F,1,127200,175,B Choice F 1 NA 21 1 Flies 1 NA,127375,BChoice,X,1,NA,21,Flies 1,NA,fly
23,B Choice F 1 NA 23 1 Flies 1 NA,B,Choice,B Choice F 1 NA 23 1 Flies 1 NA,F,1,305280,150,B Choice F 1 NA 23 1 Flies 1 NA,305430,BChoice,X,1,NA,23,Flies 1,NA,fly
137,B Choice F 1 NA 137 1 Flies 1 NA,B,Choice,B Choice F 1 NA 137 1 Flies 1 NA,F,1,203520,50,B Choice F 1 NA 137 1 Flies 1 NA,203570,BChoice,AAB,1,NA,137,Flies 1,NA,fly
139,B Choice F 1 NA 139 1 Flies 1 NA,B,Choice,B Choice F 1 NA 139 1 Flies 1 NA,F,1,941280,2000,B Choice F 1 NA 139 1 Flies 1 NA,943280,BChoice,AAB,1,NA,139,Flies 1,NA,fly
141,B Choice F 1 NA 141 1 Flies 1 NA,B,Choice,B Choice F 1 NA 141 1 Flies 1 NA,F,1,585120,225,B Choice F 1 NA 141 1 Flies 1 NA,585345,BChoice,AAB,1,NA,141,Flies 1,NA,fly
875,B Choice F 1 NA 871 1 Flies 3 NA,B,Choice,B Choice F 1 NA 871 1 Flies 3 NA,F,1,1017600,3975,B Choice F 1 NA 871 1 Flies 3 NA,1021575,BChoice,LAB,1,NA,871,Flies 3,NA,fly
877,B Choice F 1 NA 873 1 Flies 3 NA,B,Choice,B Choice F 1 NA 873 1 Flies 3 NA,F,1,483360,2385,B Choice F 1 NA 873 1 Flies 3 NA,485745,BChoice,LAB,1,NA,873,Flies 3,NA,fly
115,B Choice F 1 NA 2393 4 Flies 1 NA,B,Choice,B Choice F 1 NA 2393 4 Flies 1 NA,F,4,17887.5,0,B Choice F 1 NA 2393 4 Flies 1 NA,17887.5,BChoice,CV,1,NA,2393,Flies 1,NA,fly
117,B Choice F 1 NA 2395 4 Flies 1 NA,B,Choice,B Choice F 1 NA 2395 4 Flies 1 NA,F,4,82680,375,B Choice F 1 NA 2395 4 Flies 1 NA,83055,BChoice,CV,1,NA,2395,Flies 1,NA,fly
119,B Choice F 1 NA 2397 4 Flies 1 NA,B,Choice,B Choice F 1 NA 2397 4 Flies 1 NA,F,4,8745,375,B Choice F 1 NA 2397 4 Flies 1 NA,9120,BChoice,CV,1,NA,2397,Flies 1,NA,fly
13,B Choice M 1 NA 13 1 Flies 1 NA,B,Choice,B Choice M 1 NA 13 1 Flies 1 NA,M,1,21465,50,B Choice M 1 NA 13 1 Flies 1 NA,21515,BChoice,X,1,NA,13,Flies 1,NA,fly
15,B Choice M 1 NA 15 1 Flies 1 NA,B,Choice,B Choice M 1 NA 15 1 Flies 1 NA,M,1,11130,75,B Choice M 1 NA 15 1 Flies 1 NA,11205,BChoice,X,1,NA,15,Flies 1,NA,fly
17,B Choice M 1 NA 17 1 Flies 1 NA,B,Choice,B Choice M 1 NA 17 1 Flies 1 NA,M,1,28620,125,B Choice M 1 NA 17 1 Flies 1 NA,28745,BChoice,X,1,NA,17,Flies 1,NA,fly
131,B Choice M 1 NA 131 1 Flies 1 NA,B,Choice,B Choice M 1 NA 131 1 Flies 1 NA,M,1,15900,795,B Choice M 1 NA 131 1 Flies 1 NA,16695,BChoice,AAB,1,NA,131,Flies 1,NA,fly
133,B Choice M 1 NA 133 1 Flies 1 NA,B,Choice,B Choice M 1 NA 133 1 Flies 1 NA,M,1,330720,100,B Choice M 1 NA 133 1 Flies 1 NA,330820,BChoice,AAB,1,NA,133,Flies 1,NA,fly
135,B Choice M 1 NA 135 1 Flies 1 NA,B,Choice,B Choice M 1 NA 135 1 Flies 1 NA,M,1,12720,0,B Choice M 1 NA 135 1 Flies 1 NA,12720,BChoice,AAB,1,NA,135,Flies 1,NA,fly
869,B Choice M 1 NA 867 1 Flies 3 NA,B,Choice,B Choice M 1 NA 867 1 Flies 3 NA,M,1,117660,850,B Choice M 1 NA 867 1 Flies 3 NA,118510,BChoice,LAB,1,NA,867,Flies 3,NA,fly
873,B Choice M 1 NA 869 1 Flies 3 NA,B,Choice,B Choice M 1 NA 869 1 Flies 3 NA,M,1,41340,3180,B Choice M 1 NA 869 1 Flies 3 NA,44520,BChoice,LAB,1,NA,869,Flies 3,NA,fly
109,B Choice M 1 NA 2388 4 Flies 1 NA,B,Choice,B Choice M 1 NA 2388 4 Flies 1 NA,M,4,457920,0,B Choice M 1 NA 2388 4 Flies 1 NA,457920,BChoice,CV,1,NA,2388,Flies 1,NA,fly
113,B Choice M 1 NA 2391 4 Flies 1 NA,B,Choice,B Choice M 1 NA 2391 4 Flies 1 NA,M,4,15900,75,B Choice M 1 NA 2391 4 Flies 1 NA,15975,BChoice,CV,1,NA,2391,Flies 1,NA,fly
205,B Choice NA 1 NA 205 1 Diet 1 A,B,Choice,B Choice NA 1 NA 205 1 Diet 1 A,NA,1,3866880,0,B Choice NA 1 NA 205 1 Diet 1 A,3866880,BChoice,X,1,NA,205,Diet 1,A,diet
207,B Choice NA 1 NA 207 1 Diet 1 A,B,Choice,B Choice NA 1 NA 207 1 Diet 1 A,NA,1,13025280,0,B Choice NA 1 NA 207 1 Diet 1 A,13025280,BChoice,X,1,NA,207,Diet 1,A,diet
209,B Choice NA 1 NA 209 1 Diet 1 A,B,Choice,B Choice NA 1 NA 209 1 Diet 1 A,NA,1,7733760,0,B Choice NA 1 NA 209 1 Diet 1 A,7733760,BChoice,X,1,NA,209,Diet 1,A,diet
211,B Choice NA 1 NA 211 1 Diet 1 L,B,Choice,B Choice NA 1 NA 211 1 Diet 1 L,NA,1,95400,650,B Choice NA 1 NA 211 1 Diet 1 L,96050,BChoice,X,1,NA,211,Diet 1,L,diet
213,B Choice NA 1 NA 213 1 Diet 1 L,B,Choice,B Choice NA 1 NA 213 1 Diet 1 L,NA,1,1221120,275,B Choice NA 1 NA 213 1 Diet 1 L,1221395,BChoice,X,1,NA,213,Diet 1,L,diet
215,B Choice NA 1 NA 215 1 Diet 1 L,B,Choice,B Choice NA 1 NA 215 1 Diet 1 L,NA,1,1628160,350,B Choice NA 1 NA 215 1 Diet 1 L,1628510,BChoice,X,1,NA,215,Diet 1,L,diet
329,B Choice NA 1 NA 329 1 Diet 1 A,B,Choice,B Choice NA 1 NA 329 1 Diet 1 A,NA,1,1831680,3180,B Choice NA 1 NA 329 1 Diet 1 A,1834860,BChoice,AAB,1,NA,329,Diet 1,A,diet
331,B Choice NA 1 NA 331 1 Diet 1 A,B,Choice,B Choice NA 1 NA 331 1 Diet 1 A,NA,1,1628160,0,B Choice NA 1 NA 331 1 Diet 1 A,1628160,BChoice,AAB,1,NA,331,Diet 1,A,diet
333,B Choice NA 1 NA 333 1 Diet 1 A,B,Choice,B Choice NA 1 NA 333 1 Diet 1 A,NA,1,24422400,0,B Choice NA 1 NA 333 1 Diet 1 A,24422400,BChoice,AAB,1,NA,333,Diet 1,A,diet
335,B Choice NA 1 NA 335 1 Diet 1 L,B,Choice,B Choice NA 1 NA 335 1 Diet 1 L,NA,1,2849280,75,B Choice NA 1 NA 335 1 Diet 1 L,2849355,BChoice,AAB,1,NA,335,Diet 1,L,diet
337,B Choice NA 1 NA 337 1 Diet 1 L,B,Choice,B Choice NA 1 NA 337 1 Diet 1 L,NA,1,2442240,275,B Choice NA 1 NA 337 1 Diet 1 L,2442515,BChoice,AAB,1,NA,337,Diet 1,L,diet
339,B Choice NA 1 NA 339 1 Diet 1 L,B,Choice,B Choice NA 1 NA 339 1 Diet 1 L,NA,1,2849280,50,B Choice NA 1 NA 339 1 Diet 1 L,2849330,BChoice,AAB,1,NA,339,Diet 1,L,diet
1061,B Choice NA 1 NA 1056 1 Diet 3 L,B,Choice,B Choice NA 1 NA 1056 1 Diet 3 L,NA,1,7937280,0,B Choice NA 1 NA 1056 1 Diet 3 L,7937280,BChoice,LAB,1,NA,1056,Diet 3,L,diet
1063,B Choice NA 1 NA 1058 1 Diet 3 L,B,Choice,B Choice NA 1 NA 1058 1 Diet 3 L,NA,1,6716160,0,B Choice NA 1 NA 1058 1 Diet 3 L,6716160,BChoice,LAB,1,NA,1058,Diet 3,L,diet
1065,B Choice NA 1 NA 1060 1 Diet 3 L,B,Choice,B Choice NA 1 NA 1060 1 Diet 3 L,NA,1,7733760,0,B Choice NA 1 NA 1060 1 Diet 3 L,7733760,BChoice,LAB,1,NA,1060,Diet 3,L,diet
1067,B Choice NA 1 NA 1062 1 Diet 3 A,B,Choice,B Choice NA 1 NA 1062 1 Diet 3 A,NA,1,3052800,0,B Choice NA 1 NA 1062 1 Diet 3 A,3052800,BChoice,LAB,1,NA,1062,Diet 3,A,diet
1069,B Choice NA 1 NA 1064 1 Diet 3 A,B,Choice,B Choice NA 1 NA 1064 1 Diet 3 A,NA,1,16281600,0,B Choice NA 1 NA 1064 1 Diet 3 A,16281600,BChoice,LAB,1,NA,1064,Diet 3,A,diet
1071,B Choice NA 1 NA 1066 1 Diet 3 A,B,Choice,B Choice NA 1 NA 1066 1 Diet 3 A,NA,1,2238720,0,B Choice NA 1 NA 1066 1 Diet 3 A,2238720,BChoice,LAB,1,NA,1066,Diet 3,A,diet
299,B Choice NA 1 NA 2575 4 Diet 1 A,B,Choice,B Choice NA 1 NA 2575 4 Diet 1 A,NA,4,52101120,0,B Choice NA 1 NA 2575 4 Diet 1 A,52101120,BChoice,CV,1,NA,2575,Diet 1,A,diet
301,B Choice NA 1 NA 2577 4 Diet 1 A,B,Choice,B Choice NA 1 NA 2577 4 Diet 1 A,NA,4,60241920,25,B Choice NA 1 NA 2577 4 Diet 1 A,60241945,BChoice,CV,1,NA,2577,Diet 1,A,diet
303,B Choice NA 1 NA 2579 4 Diet 1 A,B,Choice,B Choice NA 1 NA 2579 4 Diet 1 A,NA,4,79779840,0,B Choice NA 1 NA 2579 4 Diet 1 A,79779840,BChoice,CV,1,NA,2579,Diet 1,A,diet
