Position,code,Geography,Treatment,vialnum,Sex,PLATE,cfuA,cfuL,repexp,exp,total,GT,starved,bigexp,GS,TS,TG,aperc,lperc
1A,B Choice F #1 plate1 1A N,B,Choice,B Choice F #1,F,plate1,128000,50,B Choice F #1,plate1,128050,BChoice,N,Maggie,BF,ChoiceF,BChoice,0.999609528,0.000390472
2A,B Choice F #2 plate1 2A N,B,Choice,B Choice F #2,F,plate1,1536000,500,B Choice F #2,plate1,1536500,BChoice,N,Maggie,BF,ChoiceF,BChoice,0.999674585,0.000325415
3A,B Choice F #3 plate1 3A N,B,Choice,B Choice F #3,F,plate1,99200,50,B Choice F #3,plate1,99250,BChoice,N,Maggie,BF,ChoiceF,BChoice,0.999496222,0.000503778
4A,B Control F #2 plate1 4A N,B,Control,B Control F #2,F,plate1,92800,100,B Control F #2,plate1,92900,BControl,N,Maggie,BF,ControlF,BControl,0.998923574,0.001076426
5A,PA Choice F #1 plate1 5A N,PA,Choice,PA Choice F #1,F,plate1,89600,50,PA Choice F #1,plate1,89650,PAChoice,N,Maggie,PAF,ChoiceF,PAChoice,0.999442276,0.000557724
6A,PA Choice F #2 plate1 6A N,PA,Choice,PA Choice F #2,F,plate1,972800,500,PA Choice F #2,plate1,973300,PAChoice,N,Maggie,PAF,ChoiceF,PAChoice,0.999486284,0.000513716
7A,MD Choice F #1 plate1 7A N,MD,Choice,MD Choice F #1,F,plate1,768000,0,MD Choice F #1,plate1,768000,MDChoice,N,Maggie,MDF,ChoiceF,MDChoice,1,0
8A,MD Control F #1 plate1 8A N,MD,Control,MD Control F #1,F,plate1,1331200,0,MD Control F #1,plate1,1331200,MDControl,N,Maggie,MDF,ControlF,MDControl,1,0
9A,E Choice F #1 plate1 9A N,E,Choice,E Choice F #1,F,plate1,6800,0,E Choice F #1,plate1,6800,EChoice,N,Maggie,EF,ChoiceF,EChoice,1,0
10A,E Control F #1 plate1 10A N,E,Control,E Control F #1,F,plate1,134400,0,E Control F #1,plate1,134400,EControl,N,Maggie,EF,ControlF,EControl,1,0
11A,E Choice F #1 plate1 11A N,E,Choice,E Choice F #1,F,plate1,17200,0,E Choice F #1,plate1,17200,EChoice,N,Maggie,EF,ChoiceF,EChoice,1,0
12A,E Choice F #2 plate1 12A N,E,Choice,E Choice F #2,F,plate1,768000,0,E Choice F #2,plate1,768000,EChoice,N,Maggie,EF,ChoiceF,EChoice,1,0
