Plate,Treatment,Bacteria,LABconc,exp,stg,GT,cfuA,cfuL,total,repexp
1,Choice,Acetobacter,50x,A,Choice,Choice,1492480,116.6666667,1492596.667,A1Choice50x
2,Choice,Acetobacter,50x,A,Choice,Choice,712320,37.5,712357.5,A2Choice50x
3,Choice,Acetobacter,50x,A,Choice,Choice,271360,58.33333333,271418.3333,A3Choice50x
4,Choice,Acetobacter,50x,A,Choice,Choice,3086720,79.16666667,3086799.167,A4Choice50x
5,Choice,Acetobacter,50x,A,Choice,Choice,678400,20.83333333,678420.8333,A5Choice50x
6,Choice,Acetobacter,50x,A,Choice,Choice,610560,141.6666667,610701.6667,A6Choice50x
7,Choice,Acetobacter,50x,A,Choice,Choice,915840,407065,1322905,A7Choice50x
8,Choice,Acetobacter,50x,A,Choice,Choice,881920,33.33333333,881953.3333,A8Choice50x
9,Choice,Acetobacter,50x,A,Choice,Choice,576640,73160.83333,649800.8333,A9Choice50x
10,Choice,Acetobacter,50x,A,Choice,Choice,691968,122142,814110,A10Choice50x
1,Control,Acetobacter,50x,A,Control,Control,2069120,29.16666667,2069149.167,A1Control50x
2,Control,Acetobacter,50x,A,Control,Control,2103040,29.16666667,2103069.167,A2Control50x
3,Control,Acetobacter,50x,A,Control,Control,3086720,0,3086720,A3Control50x
4,Control,Acetobacter,50x,A,Control,Control,1458560,0,1458560,A4Control50x
5,Control,Acetobacter,50x,A,Control,Control,2244020,4.166666667,2244024.167,A5Control50x
6,Control,Acetobacter,50x,A,Control,Control,2611840,4.166666667,2611844.167,A6Control50x
7,Control,Acetobacter,50x,A,Control,Control,2175120,25,2175145,A7Control50x
8,Control,Acetobacter,50x,A,Control,Control,2413090,4.166666667,2413094.167,A8Control50x
9,Control,Acetobacter,50x,A,Control,Control,826270,25,826295,A9Control50x
10,Control,Acetobacter,50x,A,Control,Control,3832960,16.66666667,3832976.667,A10Control50x
1,Choice,Acetobacter,1x,B,Choice,Choice,13296640,462.5,13297102.5,B1Choice1x
2,Choice,Acetobacter,1x,B,Choice,Choice,3663360,2900,3666260,B2Choice1x
3,Choice,Acetobacter,1x,B,Choice,Choice,11939840,3847.5,11943687.5,B3Choice1x
4,Choice,Acetobacter,1x,B,Choice,Choice,19809280,3350.833333,19812630.83,B4Choice1x
5,Choice,Acetobacter,1x,B,Choice,Choice,21166080,5971.666667,21172051.67,B5Choice1x
6,Choice,Acetobacter,1x,B,Choice,Choice,8310400,254.1666667,8310654.167,B6Choice1x
7,Choice,Acetobacter,1x,B,Choice,Choice,16824320,7574.166667,16831894.17,B7Choice1x
8,Choice,Acetobacter,1x,B,Choice,Choice,0,450,450,B8Choice1x
9,Choice,Acetobacter,1x,B,Choice,Choice,7123200,290,7123490,B9Choice1x
10,Choice,Acetobacter,1x,B,Choice,Choice,7326720,12807.5,7339527.5,B10Choice1x
1,Choice,Acetobacter,1x,C,Choice,Choice,9497600,170.8333333,9497770.833,C1Choice1x
2,Choice,Acetobacter,1x,C,Choice,Choice,12753920,9540,12763460,C2Choice1x
3,Choice,Acetobacter,1x,C,Choice,Choice,10420224,9540,10429764,C3Choice1x
4,Choice,Acetobacter,1x,C,Choice,Choice,10277760,620.8333333,10278380.83,C4Choice1x
5,Choice,Acetobacter,1x,C,Choice,Choice,14327808,380,14328188,C5Choice1x
6,Control,Acetobacter,1x,C,Control,Control,16552960,0,16552960,C6Control1x
7,Control,Acetobacter,1x,C,Control,Control,14551680,0,14551680,C7Control1x
8,Control,Acetobacter,1x,C,Control,Control,13975040,0,13975040,C8Control1x
9,Control,Acetobacter,1x,C,Control,Control,15365760,0,15365760,C9Control1x
10,Control,Acetobacter,1x,C,Control,Control,16145920,29.16666667,16145949.17,C10Control1x
1,Choice,Acetobacter,50x,C,Choice,Choice,5698560,55650,5754210,C1Choice50x
2,Choice,Acetobacter,50x,C,Choice,Choice,14924800,287790,15212590,C2Choice50x
3,Choice,Acetobacter,50x,C,Choice,Choice,16552960,48230,16601190,C3Choice50x
4,Choice,Acetobacter,50x,C,Choice,Choice,11397120,50880,11448000,C4Choice50x
5,Choice,Acetobacter,50x,C,Choice,Choice,13568000,391670,13959670,C5Choice50x
6,Control,Acetobacter,50x,C,Control,Control,27136000,4.166666667,27136004.17,C6Control50x
1,Choice,Acetobacter,1x,D,Choice,Choice,49387520,191.6666667,49387711.67,D1Choice1x
