,code,TimePoint,Treatment,Sex,Bacteria,type,exp,cfuA,cfuL,total,stg,GT,SortOrder,repexp,Bottle
1,0minutes BASELINE M 1 fly A 1,0minutes,BASELINE,M,Acetobacter,fly,A,1192.5,125,1317.5,BASELINE0minutesM,0minutesBASELINE,1,0minutes BASELINE M 1 fly A 1,1
2,0minutes BASELINE M 3 fly A 1,0minutes,BASELINE,M,Acetobacter,fly,A,3180,5167.5,8347.5,BASELINE0minutesM,0minutesBASELINE,3,0minutes BASELINE M 3 fly A 1,1
3,0minutes BASELINE M 5 fly A 1,0minutes,BASELINE,M,Acetobacter,fly,A,795,200,995,BASELINE0minutesM,0minutesBASELINE,5,0minutes BASELINE M 5 fly A 1,1
4,0minutes BASELINE M 7 fly A 2,0minutes,BASELINE,M,Acetobacter,fly,A,5167.5,525,5692.5,BASELINE0minutesM,0minutesBASELINE,7,0minutes BASELINE M 7 fly A 2,2
5,0minutes BASELINE M 9 fly A 2,0minutes,BASELINE,M,Acetobacter,fly,A,3180,10335,13515,BASELINE0minutesM,0minutesBASELINE,9,0minutes BASELINE M 9 fly A 2,2
6,0minutes BASELINE M 11 fly A 2,0minutes,BASELINE,M,Acetobacter,fly,A,795,4770,5565,BASELINE0minutesM,0minutesBASELINE,11,0minutes BASELINE M 11 fly A 2,2
7,0minutes BASELINE M 13 fly A 3,0minutes,BASELINE,M,Acetobacter,fly,A,11130,5167.5,16297.5,BASELINE0minutesM,0minutesBASELINE,13,0minutes BASELINE M 13 fly A 3,3
8,0minutes BASELINE M 15 fly A 3,0minutes,BASELINE,M,Acetobacter,fly,A,795,7155,7950,BASELINE0minutesM,0minutesBASELINE,15,0minutes BASELINE M 15 fly A 3,3
9,0minutes BASELINE M 17 fly A 3,0minutes,BASELINE,M,Acetobacter,fly,A,795,250,1045,BASELINE0minutesM,0minutesBASELINE,17,0minutes BASELINE M 17 fly A 3,3
10,0minutes BASELINE F 22 fly A 1,0minutes,BASELINE,F,Acetobacter,fly,A,25440,22260,47700,BASELINE0minutesF,0minutesBASELINE,22,0minutes BASELINE F 22 fly A 1,1
11,0minutes BASELINE F 24 fly A 1,0minutes,BASELINE,F,Acetobacter,fly,A,19080,6360,25440,BASELINE0minutesF,0minutesBASELINE,24,0minutes BASELINE F 24 fly A 1,1
12,0minutes BASELINE F 26 fly A 1,0minutes,BASELINE,F,Acetobacter,fly,A,7155,2782.5,9937.5,BASELINE0minutesF,0minutesBASELINE,26,0minutes BASELINE F 26 fly A 1,1
13,0minutes BASELINE F 28 fly A 2,0minutes,BASELINE,F,Acetobacter,fly,A,15900,8745,24645,BASELINE0minutesF,0minutesBASELINE,28,0minutes BASELINE F 28 fly A 2,2
14,0minutes BASELINE F 31 fly A 2,0minutes,BASELINE,F,Acetobacter,fly,A,2385,5167.5,7552.5,BASELINE0minutesF,0minutesBASELINE,31,0minutes BASELINE F 31 fly A 2,2
15,0minutes BASELINE F 33 fly A 3,0minutes,BASELINE,F,Acetobacter,fly,A,3180,8745,11925,BASELINE0minutesF,0minutesBASELINE,33,0minutes BASELINE F 33 fly A 3,3
16,0minutes BASELINE F 35 fly A 3,0minutes,BASELINE,F,Acetobacter,fly,A,4372.5,9540,13912.5,BASELINE0minutesF,0minutesBASELINE,35,0minutes BASELINE F 35 fly A 3,3
17,0minutes BASELINE F 37 fly A 3,0minutes,BASELINE,F,Acetobacter,fly,A,5167.5,9937.5,15105,BASELINE0minutesF,0minutesBASELINE,37,0minutes BASELINE F 37 fly A 3,3
18,0minutes BASELINE F 39 fly A 4,0minutes,BASELINE,F,Acetobacter,fly,A,4372.5,12720,17092.5,BASELINE0minutesF,0minutesBASELINE,39,0minutes BASELINE F 39 fly A 4,4
19,0minutes BASELINE F 41 fly A 4,0minutes,BASELINE,F,Acetobacter,fly,A,1590,2385,3975,BASELINE0minutesF,0minutesBASELINE,41,0minutes BASELINE F 41 fly A 4,4
20,0minutes BASELINE F 43 fly A 4,0minutes,BASELINE,F,Acetobacter,fly,A,127200,8745,135945,BASELINE0minutesF,0minutesBASELINE,43,0minutes BASELINE F 43 fly A 4,4
21,15minutes CH F 47 fly A 1,15minutes,CH,F,Acetobacter,fly,A,795,4770,5565,CH15minutesF,15minutesCH,47,15minutes CH F 47 fly A 1,1
22,15minutes CH F 49 fly A 1,15minutes,CH,F,Acetobacter,fly,A,3975,500,4475,CH15minutesF,15minutesCH,49,15minutes CH F 49 fly A 1,1
23,15minutes CON M 51 fly A 1,15minutes,CON,M,Acetobacter,fly,A,31800,300,32100,CON15minutesM,15minutesCON,51,15minutes CON M 51 fly A 1,1
24,15minutes CON M 53 fly A 1,15minutes,CON,M,Acetobacter,fly,A,200,125,325,CON15minutesM,15minutesCON,53,15minutes CON M 53 fly A 1,1
25,15minutes CON F 55 fly A 1,15minutes,CON,F,Acetobacter,fly,A,3975,3180,7155,CON15minutesF,15minutesCON,55,15minutes CON F 55 fly A 1,1
26,15minutes CON F 57 fly A 1,15minutes,CON,F,Acetobacter,fly,A,686880,12720,699600,CON15minutesF,15minutesCON,57,15minutes CON F 57 fly A 1,1
